book_id,book_title,book_file,title,Author
202,"Project Gutenberg’s My Bondage and My Freedom, by Frederick Douglass",./data_in\202-0.txt,"Project Gutenberg’s My Bondage and My Freedom, ", Frederick Douglass
23,"Narrative of the Life of Frederick Douglass, by Frederick Douglass",./data_in\23-0.txt,"Narrative of the Life of Frederick Douglass, ", Frederick Douglass
408,"The Souls of Black Folk, by W. E. B. Du Bois",./data_in\408-0.txt,"The Souls of Black Folk, ", W. E. B. Du Bois
59116,"Why is the Negro Lynched?, by Frederick Douglass",./data_in\59116-0.txt,"Why is the Negro Lynched?, ", Frederick Douglass
62799,"John Brown, by W. E. Burghardt Du Bois",./data_in\62799-0.txt,"John Brown, ", W. E. Burghardt Du Bois
64504,"Working with the Hands, by Booker T.",./data_in\64504-0.txt,"Working with the Hands, ", Booker T.
15210,"Darkwater, by W. E. B. Du Bois",./data_in\pg15210.txt,"Darkwater, ", W. E. B. Du Bois
15359,"The Negro, by W.E.B. Du Bois",./data_in\pg15359.txt,"The Negro, ", W.E.B. Du Bois
2376,"Up From Slavery: An Autobiography, by Booker T. Washington",./data_in\pg2376.txt,"Up From Slavery: An Autobiography, ", Booker T. Washington
26507,"The Future of the American Negro, by Booker T. Washington",./data_in\pg26507.txt,"The Future of the American Negro, ", Booker T. Washington
31839,"John Brown, by Frederick Douglass",./data_in\pg31839.txt,"John Brown, ", Frederick Douglass
35399,"The Negro in the South, by Booker T. Washington and W. E. Burghardt DuBois",./data_in\pg35399.txt,"The Negro in the South, ", Booker T. Washington and W. E. Burghardt DuBois
45125,"The Story of Slavery, by Booker T. Washington",./data_in\pg45125.txt,"The Story of Slavery, ", Booker T. Washington
